"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"National Balance Sheet Accounts","36100580","378-0121","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610058001",5,"CURRENT - a cube available to the public and that is current","Quarterly","1990-01-01","2023-07-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Sectors",,""
"3","Valuation",,""
"4","Categories",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","1","","",,
"2","National balance sheets","","2","1","",,
"2","Non-residents","","35","1","",,
"2","Households and non-profit institutions serving households","","3","2","",,
"2","Corporations","","6","2","",,
"2","General governments","","28","2","",,
"2","Households","","4","3","",,
"2","Non-profit institutions serving households","","5","3","",,
"2","Non-financial corporations","","7","6","",,
"2","Financial corporations","","10","6","",,
"2","Non-financial private corporations","","8","7","",,
"2","Non-financial government business enterprises","","9","7","",,
"2","Total monetary authorities","","11","10","",,
"2","Total chartered banks and quasi-banks","","12","10","",,
"2","Insurance and pension funds","","15","10","",,
"2","Total other private financial institutions","","20","10","",,
"2","Financial government business enterprises","","27","10","",,
"2","Chartered banks","","13","12","",,
"2","Quasi-banks","","14","12","",,
"2","Credit unions and caisses populaires","","41","14","",,
"2","Trust companies and mortgage loan companies","","42","14","",,
"2","Life insurance business","","16","15","",,
"2","Segregated funds of life insurance companies","","17","15","",,
"2","Trusteed pension plans","","18","15","",,
"2","Property and casualty insurance companies","","19","15","",,
"2","Mutual funds","","21","20","",,
"2","Other financial intermediaries, except insurance corporations and pension funds","","26","20","",,
"2","Financial auxiliaries","","39","20","",,
"2","Captive financial institutions and money lenders","","40","20","",,
"2","Money market funds","","22","21","",,
"2","Other mutual funds","","23","21","",,
"2","Financial corporations engaged in lending","","24","26","",,
"2","Financial vehicle corporations engaged in securitization transactions","","25","26","",,
"2","Security and derivative dealers","","37","26","",,
"2","Specialized financial corporations and other financial intermediaries not elsewhere included","","38","26","",,
"2","Federal general government","","29","28","",,
"2","Other levels of general government","","30","28","",,
"2","Social security funds","","34","28","",,
"2","Provincial and territorial general governments","","31","30","",,
"2","Local general governments","","32","30","",,
"2","Indigenous general governments","","33","30","",,
"2","Total all sectors","","1","","",,
"2","Consolidated balance sheet","","36","","",,
"3","Market value","","1","","",,
"3","Book value","","2","","",,
"4","Non-financial assets","","2","1","",,
"4","Produced non-financial assets","","3","2","",1,
"4","Non-produced non-financial assets","","11","2","",1,
"4","Consumer durables","","8","3","",1,
"4","Inventories","","9","3","",1,
"4","Fixed assets","","107","3","",1,
"4","Buildings other than dwellings","","108","5","",1,
"4","Other structures","","109","5","",1,
"4","Research and development","","110","7","",1,
"4","Mineral exploration and evaluation","","111","7","",1,
"4","Software and databases","","112","7","",1,
"4","Other non-produced non-financial assets","","87","11","",1,
"4","Natural Resources","","113","11","",1,
"4","Land underlying dwellings","","114","12","",1,
"4","Land underlying buildings and structures","","115","12","",1,
"4","Agricultural land","","116","12","",1,
"4","Total financial assets","","14","13","",,
"4","Official international reserves","","15","14","",2,
"4","Total currency and deposits","","16","14","",2,
"4","Debt securities","","19","14","",2,
"4","Loans","","31","14","",2,
